cycle_number,poll_timestamp,timezone,http_status,response_time_ms,total_bookings_in_api,new_bookings_detected,error_message
1,2026-08-18T05:13:51.218702+05:30,+0530 (India Standard Time),200,780,0,0,Baseline initialized (0 NEW)
2,2026-08-18T05:14:21.470322+05:30,+0530 (India Standard Time),200,237,0,0,
3,2026-08-18T05:14:51.705697+05:30,+0530 (India Standard Time),200,219,0,0,
4,2026-08-18T05:15:21.936092+05:30,+0530 (India Standard Time),200,215,0,0,
5,2026-08-18T05:15:52.162670+05:30,+0530 (India Standard Time),200,212,0,0,
6,2026-08-18T05:16:22.389054+05:30,+0530 (India Standard Time),200,210,0,0,
7,2026-08-18T05:16:52.615538+05:30,+0530 (India Standard Time),200,212,0,0,
8,2026-08-18T05:17:22.848851+05:30,+0530 (India Standard Time),200,219,0,0,
9,2026-08-18T05:17:53.083527+05:30,+0530 (India Standard Time),200,222,0,0,
10,2026-08-18T05:18:23.308042+05:30,+0530 (India Standard Time),200,209,0,0,
11,2026-08-18T05:18:53.548359+05:30,+0530 (India Standard Time),200,225,0,0,
12,2026-08-18T05:19:23.772362+05:30,+0530 (India Standard Time),200,210,0,0,
13,2026-08-18T05:19:53.994056+05:30,+0530 (India Standard Time),200,208,0,0,
14,2026-08-18T05:20:24.209707+05:30,+0530 (India Standard Time),200,200,0,0,
15,2026-08-18T05:20:54.426915+05:30,+0530 (India Standard Time),200,201,0,0,
16,2026-08-18T05:21:24.648080+05:30,+0530 (India Standard Time),200,206,0,0,
17,2026-08-18T05:21:54.866779+05:30,+0530 (India Standard Time),200,204,0,0,
18,2026-08-18T05:22:25.100460+05:30,+0530 (India Standard Time),200,219,0,0,
19,2026-08-18T05:22:55.317308+05:30,+0530 (India Standard Time),200,202,0,0,
20,2026-08-18T05:23:25.526417+05:30,+0530 (India Standard Time),200,195,0,0,
21,2026-08-18T05:23:55.745563+05:30,+0530 (India Standard Time),200,203,0,0,
22,2026-08-18T05:24:25.955311+05:30,+0530 (India Standard Time),200,197,0,0,
23,2026-08-18T05:24:56.175281+05:30,+0530 (India Standard Time),200,204,0,0,
24,2026-08-18T05:25:26.396373+05:30,+0530 (India Standard Time),200,208,0,0,
25,2026-08-18T05:25:56.647276+05:30,+0530 (India Standard Time),200,236,0,0,
26,2026-08-18T05:26:26.861203+05:30,+0530 (India Standard Time),200,200,0,0,
27,2026-08-18T05:26:57.085267+05:30,+0530 (India Standard Time),200,207,0,0,
28,2026-08-18T05:27:27.299855+05:30,+0530 (India Standard Time),200,198,0,0,
29,2026-08-18T05:27:57.513162+05:30,+0530 (India Standard Time),200,196,0,0,
30,2026-08-18T05:28:27.743189+05:30,+0530 (India Standard Time),200,213,0,0,
31,2026-08-18T05:28:57.953561+05:30,+0530 (India Standard Time),200,195,0,0,
32,2026-08-18T05:29:28.163744+05:30,+0530 (India Standard Time),200,196,0,0,
33,2026-08-18T05:29:58.377319+05:30,+0530 (India Standard Time),200,197,0,0,
34,2026-08-18T05:30:28.623880+05:30,+0530 (India Standard Time),200,231,0,0,
35,2026-08-18T05:30:58.838058+05:30,+0530 (India Standard Time),200,200,0,0,
36,2026-08-18T05:31:29.046284+05:30,+0530 (India Standard Time),200,194,0,0,
37,2026-08-18T05:31:59.288498+05:30,+0530 (India Standard Time),200,227,0,0,
38,2026-08-18T05:32:29.501110+05:30,+0530 (India Standard Time),200,197,0,0,
39,2026-08-18T05:32:59.711014+05:30,+0530 (India Standard Time),200,196,0,0,
40,2026-08-18T05:33:29.953795+05:30,+0530 (India Standard Time),200,229,0,0,
41,2026-08-18T05:34:00.222858+05:30,+0530 (India Standard Time),200,252,0,0,
42,2026-08-18T05:34:30.529828+05:30,+0530 (India Standard Time),200,292,0,0,
43,2026-08-18T05:35:00.783576+05:30,+0530 (India Standard Time),200,240,0,0,
44,2026-08-18T05:35:31.045636+05:30,+0530 (India Standard Time),200,250,0,0,
45,2026-08-18T05:36:01.281444+05:30,+0530 (India Standard Time),200,221,0,0,
46,2026-08-18T05:36:31.489690+05:30,+0530 (India Standard Time),200,196,0,0,
47,2026-08-18T05:37:01.701202+05:30,+0530 (India Standard Time),200,201,0,0,
48,2026-08-18T05:37:32.516511+05:30,+0530 (India Standard Time),200,804,0,0,
49,2026-08-18T05:38:02.721566+05:30,+0530 (India Standard Time),200,192,0,0,
50,2026-08-18T05:38:32.950700+05:30,+0530 (India Standard Time),200,217,0,0,
51,2026-08-18T05:39:03.164502+05:30,+0530 (India Standard Time),200,202,0,0,
52,2026-08-18T05:39:33.379451+05:30,+0530 (India Standard Time),200,203,0,0,
53,2026-08-18T05:40:03.619282+05:30,+0530 (India Standard Time),200,229,0,0,
54,2026-08-18T05:40:33.828252+05:30,+0530 (India Standard Time),200,197,0,0,
55,2026-08-18T05:41:04.040388+05:30,+0530 (India Standard Time),200,201,0,0,
56,2026-08-18T05:41:34.255124+05:30,+0530 (India Standard Time),200,203,0,0,
57,2026-08-18T05:42:04.714369+05:30,+0530 (India Standard Time),200,418,14,14,
58,2026-08-18T05:42:35.131085+05:30,+0530 (India Standard Time),200,406,14,0,
59,2026-08-18T05:43:05.568107+05:30,+0530 (India Standard Time),200,426,14,0,
60,2026-08-18T05:43:35.980710+05:30,+0530 (India Standard Time),200,402,14,0,
61,2026-08-18T05:44:06.393170+05:30,+0530 (India Standard Time),200,400,14,0,
62,2026-08-18T05:44:36.791050+05:30,+0530 (India Standard Time),200,383,14,0,
63,2026-08-18T05:45:07.319451+05:30,+0530 (India Standard Time),200,516,14,0,
64,2026-08-18T05:45:37.729276+05:30,+0530 (India Standard Time),200,399,14,0,
65,2026-08-18T05:46:08.137467+05:30,+0530 (India Standard Time),200,395,14,0,
66,2026-08-18T05:46:38.527289+05:30,+0530 (India Standard Time),200,377,14,0,
67,2026-08-18T05:47:08.940878+05:30,+0530 (India Standard Time),200,400,14,0,
68,2026-08-18T05:47:39.334659+05:30,+0530 (India Standard Time),200,381,14,0,
69,2026-08-18T05:48:09.747614+05:30,+0530 (India Standard Time),200,385,16,2,
70,2026-08-18T05:48:40.153552+05:30,+0530 (India Standard Time),200,392,16,0,
71,2026-08-18T05:49:10.556723+05:30,+0530 (India Standard Time),200,389,16,0,
72,2026-08-18T05:49:41.007536+05:30,+0530 (India Standard Time),200,437,16,0,
73,2026-08-18T05:50:11.409798+05:30,+0530 (India Standard Time),200,390,16,0,
74,2026-08-18T05:50:41.820179+05:30,+0530 (India Standard Time),200,396,16,0,
75,2026-08-18T05:51:12.241992+05:30,+0530 (India Standard Time),200,407,16,0,
76,2026-08-18T05:51:42.670191+05:30,+0530 (India Standard Time),200,416,16,0,
77,2026-08-18T05:52:13.085762+05:30,+0530 (India Standard Time),200,402,16,0,
78,2026-08-18T05:52:43.484724+05:30,+0530 (India Standard Time),200,386,16,0,
79,2026-08-18T05:53:13.904899+05:30,+0530 (India Standard Time),200,407,16,0,
80,2026-08-18T05:53:44.354648+05:30,+0530 (India Standard Time),200,436,16,0,
81,2026-08-18T05:54:14.802854+05:30,+0530 (India Standard Time),200,421,19,3,
82,2026-08-18T05:54:45.294932+05:30,+0530 (India Standard Time),200,479,19,0,
83,2026-08-18T05:55:15.754467+05:30,+0530 (India Standard Time),200,448,19,0,
84,2026-08-18T05:55:46.209315+05:30,+0530 (India Standard Time),200,441,19,0,
85,2026-08-18T05:56:16.608432+05:30,+0530 (India Standard Time),200,386,19,0,
86,2026-08-18T05:56:47.014223+05:30,+0530 (India Standard Time),200,391,19,0,
87,2026-08-18T05:57:17.420036+05:30,+0530 (India Standard Time),200,394,19,0,
88,2026-08-18T05:57:47.817315+05:30,+0530 (India Standard Time),200,383,19,0,
89,2026-08-18T05:58:18.226888+05:30,+0530 (India Standard Time),200,397,19,0,
90,2026-08-18T05:58:48.637635+05:30,+0530 (India Standard Time),200,396,19,0,
91,2026-08-18T05:59:19.040213+05:30,+0530 (India Standard Time),200,391,19,0,
92,2026-08-18T05:59:49.492189+05:30,+0530 (India Standard Time),200,439,19,0,
93,2026-08-18T06:00:19.908510+05:30,+0530 (India Standard Time),200,397,21,2,
94,2026-08-18T06:00:50.315928+05:30,+0530 (India Standard Time),200,395,21,0,
95,2026-08-18T06:01:20.732509+05:30,+0530 (India Standard Time),200,403,21,0,
96,2026-08-18T06:01:51.141565+05:30,+0530 (India Standard Time),200,395,21,0,
97,2026-08-18T06:02:21.558530+05:30,+0530 (India Standard Time),200,403,21,0,
98,2026-08-18T06:02:51.980052+05:30,+0530 (India Standard Time),200,406,21,0,
99,2026-08-18T06:03:22.381593+05:30,+0530 (India Standard Time),200,388,21,0,
100,2026-08-18T06:03:52.785286+05:30,+0530 (India Standard Time),200,390,21,0,
101,2026-08-18T06:04:23.191672+05:30,+0530 (India Standard Time),200,394,21,0,
102,2026-08-18T06:04:53.607178+05:30,+0530 (India Standard Time),200,402,21,0,
